726	cables-chargers -> small-parts-flex	Home Button Flex Cable For iPad Pro 10.5 / iPad Air 3 / iPad Pro 12.9" (2nd Gen: 2017) (Gold)
727	cables-chargers -> small-parts-flex	Home Button Flex Cable For iPad Pro 10.5 / iPad Air 3 / iPad Pro 12.9" (2nd Gen: 2017) (Rose Gold)
732	screens-lcds -> tools-adhesives	Tester Cable (Digitizer) For iPad 2 / 3 / 4
733	other-parts -> small-parts-flex	Complete Screw Set For iPad 2 / iPad 3 / iPad 4
734	screens-lcds -> small-parts-flex	LCD Power Switch Connection Board For iPad 2 (Wifi Version)
735	screens-lcds -> small-parts-flex	LCD Power Switch Connection Board For iPad 2 (3G)
736	cables-chargers -> small-parts-flex	Left Cellular Antenna Flex Cable For iPad 2 (Cdma)
737	cables-chargers -> small-parts-flex	Right Antenna Flex Cable For iPad 2 (3G Att)
738	screens-lcds -> small-parts-flex	LCD Flex Cable For iPad 2 (3G And Wifi)
739	screens-lcds -> small-parts-flex	Digitizer Flex Cable For iPad 2 (3G And Wifi)
740	cables-chargers -> small-parts-flex	Wifi Cable For iPad 2
741	cables-chargers -> small-parts-flex	Left Antenna Flex Cable For iPad 2 (3G / Verizon)
744	cables-chargers -> small-parts-flex	MICrophone Flex Cable For iPad 2
746	cables-chargers -> small-parts-flex	Headphone Jack And Simcard Holder Flex Cable For iPad 2 (3G)
747	cables-chargers -> small-parts-flex	Headphone Jack Flex Cable For iPad 2 (Wifi)
